"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
1,1.00,1.00,"Gagarin, Yuri","ГАГАРИН Юрий Алексеевич","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,1.00,"pilot",1961.00,"Vostok 1","Vostok 1","Vostok 2","Vostok 3",1.77,1.77,0.00,0.00,0.00
2,2.00,2.00,"Titov, Gherman","ТИТОВ Герман Степанович","M",1935.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,1.00,"pilot",1961.00,"Vostok 2","Vostok 2","Vostok 2","Vostok 2",25.00,25.30,0.00,0.00,0.00
3,3.00,1.00,"Glenn, John H., Jr.","Glenn, John H., Jr.","M",1921.00,"U.S.","Mil","NASA Astronaut Group 1",1959.00,1.00,2.00,"pilot",1962.00,"MA-6","MA-6","MA-6","MA-6",5.00,218.00,0.00,0.00,0.00
4,3.00,1.00,"Glenn, John H., Jr.","Glenn, John H., Jr.","M",1921.00,"U.S.","Mil","NASA Astronaut Group 2",1959.00,2.00,2.00,"PSP",1998.00,"STS-95","STS-95","STS-95","STS-95",213.00,218.00,0.00,0.00,0.00
5,4.00,2.00,"Carpenter, M. Scott","Carpenter, M. Scott","M",1925.00,"U.S.","Mil","NASA- 1",1959.00,1.00,1.00,"Pilot",1962.00,"Mercury-Atlas 7","Mercury-Atlas 7","Mercury-Atlas 7","Mercury-Atlas 7",5.00,5.00,0.00,0.00,0.00
6,5.00,2.00,"Nikolayev, Andriyan","НИКОЛАЕВ Андриян Григорьевич","M",1929.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,2.00,"pilot",1962.00,"Vostok 3","Vostok 3","Vostok 3","Vostok 3",94.00,519.33,0.00,0.00,0.00
7,5.00,2.00,"Nikolayev, Andriyan","НИКОЛАЕВ Андриян Григорьевич","M",1929.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,2.00,"pilot",1970.00,"Soyuz 9","Soyuz 9","Soyuz 9","Soyuz 9",424.00,519.33,0.00,0.00,0.00
8,6.00,4.00,"Popovich, Pavel","ПОПОВИЧ Павел Романович","M",1930.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,2.00,"pilot",1962.00,"Vostok 4","Vostok 4","Vostok 4","Vostok 4",70.93,448.45,0.00,0.00,0.00
9,6.00,4.00,"Popovich, Pavel","ПОПОВИЧ Павел Романович","M",1930.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,2.00,"commander",1974.00,"Soyuz 14","Soyuz 14","Soyuz 14","Soyuz 14",377.00,448.45,0.00,0.00,0.00
10,7.00,3.00,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.","M",1923.00,"U.S.","Mil","1959 NASA group 1",1959.00,1.00,3.00,"pilot",1962.00,"Mercury-Atlas 8","Mercury-Atlas 8","Mercury-Atlas 8","Mercury-Atlas 8",9.22,295.20,0.00,0.00,0.00
11,7.00,3.00,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.","M",1923.00,"U.S.","Mil","1960 NASA group 1",1959.00,2.00,3.00,"commander",1965.00,"Gemini 6A","Gemini 6A","Gemini 6A","Gemini 6A",25.87,295.20,0.00,0.00,0.00
12,7.00,3.00,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.","M",1923.00,"U.S.","Mil","1961 NASA group 1",1959.00,3.00,3.00,"commander",1968.00,"Apollo 7","Apollo 7","Apollo 7","Apollo 7",260.13,295.20,0.00,0.00,0.00
13,8.00,4.00,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.","M",1927.00,"U.S.","Mil","NASA- 1",1959.00,1.00,2.00,"pilot",1963.00,"Mercury-Atlas 9","Mercury-Atlas 9","Mercury-Atlas 9","Mercury-Atlas 9",34.32,225.00,0.00,0.00,0.00
14,8.00,4.00,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.","M",1927.00,"U.S.","Mil","NASA- 1",1959.00,2.00,2.00,"commander",1965.00,"Gemini 5","Gemini 5","Gemini 5","Gemini 5",191.92,225.00,0.00,0.00,0.00
15,9.00,5.00,"Bykovsky, Valery","БЫКОВСКИЙ Валерий Федорович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,3.00,"pilot",1963.00,"Vostok 5","Vostok 5","Vostok 5","Vostok 5",119.13,497.80,0.00,0.00,0.00
16,9.00,5.00,"Bykovsky, Valery","БЫКОВСКИЙ Валерий Федорович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,3.00,"commander",1976.00,"Soyuz 22","Soyuz 22","Soyuz 22","Soyuz 22",189.00,497.80,0.00,0.00,0.00
